Row,Original Index,Person1,Intelligence1,Determination1,Calmness1,Politeness1,Aggression1,Sophistication1,Incoherence1,Rudeness1,Stupidity1,Articulation1,Unsophistication1,Laziness1,Person2,Intelligence2,Determination2,Calmness2,Politeness2,Aggression2,Sophistication2,Incoherence2,Rudeness2,Stupidity2,Articulation2,Unsophistication2,Laziness2
15,22,"I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on
",1,5,1,1,3,1,4,5,1,2,4,4,"I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.
",1,5,1,1,4,1,3,5,1,2,5,3
16,20,"I am single and ready to mingle, but at the same time I am also ready to settle down
",3,4,3,5,1,4,1,1,1,4,1,1,"I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down
",3,4,2,5,1,3,1,1,1,4,2,1
17,21,"I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap",3,2,1,5,1,1,1,1,1,4,3,5,I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap,2,3,1,5,1,2,4,1,1,4,3,5
18,23,"There are too many people who are not loyal! I need someone who is loyal on my team
",,,,,,,,,,,,,"Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!
",,,,,,,,,,,,
19,25,"I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less
",3,4,2,5,3,3,2,1,1,4,2,1,"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less
",2,4,1,5,4,2,2,1,1,4,2,1
20,27,"I really think my kids forgot I had an account. Yes, I'm creeping and not a happy mother.and not a happy mother
",2,3,1,1,4,1,1,5,2,3,4,1,"I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!
",2,3,1,2,4,2,2,4,1,3,4,1
21,29,"Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone
",2,2,1,4,1,2,2,1,3,2,3,3,"Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone
",3,3,1,2,5,1,1,5,1,4,3,1
22,28,"I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what.
",3,4,5,5,1,2,1,1,1,4,1,1,"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.
",2,4,5,5,1,2,1,1,1,4,1,1
23,32,"So he posted a status that said \""lonely\"" and a modeljust messaged him
",2,1,3,5,1,2,1,1,1,4,2,1,"so he put a status that says lonely up and a modelhoe just hit him up...
",1,1,1,1,4,1,3,4,2,2,5,1
24,31,"Yes, there is also this black female doctor you need to visit. When i remember Her name, i will send it to you.
",,,,,,,,,,,,,"yes theres also this black female Dr you need to check out.. when i rememberher name ill link you
",,,,,,,,,,,,
25,33,"The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.
",2,3,1,4,1,2,1,2,1,5,1,1,"The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia
",2,2,3,4,3,2,2,1,2,4,4,1
26,34,"So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.",2,4,1,1,5,1,3,5,1,2,4,1,So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix,3,4,1,1,5,2,2,4,1,4,2,1
27,35,"Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business
",2,5,1,1,4,2,1,3,1,3,3,1,"Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business
",2,4,1,1,4,2,1,3,1,3,2,1
28,36,"Atlanta fans might as well clock out.. you already know theending to this story ..
",1,2,2,1,5,1,2,4,5,2,4,3,"Atlanta fans might as well clock out.. You already know theending to this story ...""
",2,1,1,3,4,2,1,5,1,3,4,1
29,38,"Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal
",2,4,1,1,5,1,2,5,2,2,4,1,"Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal
",2,4,1,1,5,1,3,5,2,2,4,1
30,41,"I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid
",,,,,,,,,,,,,"I wonder how much the person who is in charge of theobama twitter account gets paid
",,,,,,,,,,,,
31,42,"And he said, \""My first name is Rod, baby...AJ is a family nickname and it's whatI prefer to be calle
",3,1,2,4,1,2,5,2,1,4,3,1,"And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called
",3,1,1,4,1,2,4,3,1,3,3,1
32,44,"You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye
",2,2,4,4,1,2,1,1,1,3,1,1,"you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet
",1,3,2,5,1,3,1,1,1,5,1,1
33,46,"This broad worked us for an hour straight and did not even give us onewater break. The inhumanity.
",,,,,,,,,,,,,"This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity
",,,,,,,,,,,,
34,47,"Frank Ocean can probably fight as he has been training to beat up Chris Brown. Breezy will never liveit down if he happened to lose
",,,,,,,,,,,,,"Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost
",,,,,,,,,,,,
35,48,"The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it
",2,3,1,4,4,1,2,3,1,3,2,1,"Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted
",3,2,1,3,5,2,1,5,1,4,3,2
36,49,"I am not confused about anything as this works for me, but it so happens that my coworkers keep laughingat how small it is
",3,3,4,4,1,3,1,1,1,4,1,1,"Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is
",3,1,3,4,1,2,3,1,1,3,4,1
37,51,"I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.
",3,1,3,5,1,3,1,1,1,4,2,1,"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible tonight"" song of the year. 
",3,3,1,3,3,5,1,2,1,4,1,1
38,55,"If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed
",,,,,,,,,,,,,"If I could grow a perfect pair of breasts, they wouldsit next to my bed.
",,,,,,,,,,,,
39,56,"Yesterday, I got the sweetest text from a person that I thoughtdidn't love me anymor
",3,2,4,5,1,3,2,1,1,4,1,1,YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....,2,3,1,3,3,2,5,2,2,2,4,1
40,54,"If I can’t love you like I’m supposed to and you’d rather get beaten by another person, why be with you? You deserve better.
",3,4,1,2,4,2,1,4,1,3,1,1,"If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better
",2,4,1,1,4,2,1,5,1,3,4,1
41,57,"Ok I'm still out here. Still turnt up. What'swrong with me? Haha.
",2,3,1,4,5,1,1,3,1,3,4,1,"Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol
",2,3,1,2,5,2,4,5,1,3,5,1
42,58,"I want to give a special shout out to my brother from another mother my friend until we die happy birthday my friend and many more.
",3,2,4,5,1,2,1,2,1,4,2,1,Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..,2,3,1,3,3,2,4,4,1,2,5,1
43,59,"Umm...do I need to go back and read your tweets for all thisnonsense that I missed earlier? That's funn
",,,,,,,,,,,,,"ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol
",,,,,,,,,,,,
44,60,"It’s not sick. That’s funny. It’s just a bit extreme. Nothing is wrong with an extra pair of undies while traveling, but not a WHOLE duffel bag!
",,,,,,,,,,,,,"not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!
",,,,,,,,,,,,
45,61,"Dr. Haynes, I live in Georgia and I would like to know, what time are you on the Ricky Smiley show and how canI hear you more? Thanks
",2,3,2,4,1,3,2,2,1,4,2,2,"Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks
",2,3,3,5,1,2,1,1,1,4,3,1
46,62,"Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay
",,,,,,,,,,,,,bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk,,,,,,,,,,,,
47,63,"\""I know where you're from,\"" he said. \""You know him, look at my pic\""I just put up of him, brothe
",2,4,1,1,5,2,3,5,1,2,4,1,"ibknow where u from he said u know him look at my pic Ijust up of him bro
",1,2,1,2,4,1,3,5,4,2,5,1
48,66,"It is hard to be just be friends with someone you usedto be in love with
",,,,,,,,,,,,,"You really can't ever be just friends with someone you usedto be in love with.
",,,,,,,,,,,,
49,64,"I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight
",2,4,1,1,5,1,2,5,3,3,4,1,"i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up
",1,4,1,1,5,2,3,5,1,2,5,1
50,65,"I really miss Pat and Maurice staying here, they used toaccept my offers all the time
",2,1,3,4,1,2,2,1,1,3,3,1,"Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday
",1,1,3,5,1,1,4,2,2,3,4,1
51,67,"Everyone, lock up your man, because I will try and take your man and you will neverknow, so be careful everyone
",2,4,1,1,5,1,3,5,2,2,4,1,"everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all
",2,3,1,1,5,1,2,5,3,2,4,1
52,68,"Not a single person is immune from the trials and tribulations of life, if you think youare, just keep doing what you have been doing
",,,,,,,,,,,,,"NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living.... 
",,,,,,,,,,,,
53,70,"I'm on the phone with my grandma and she keeps saying \""we're going to get off the phone now,\"" but then she keeps talking! Come on
",,,,,,,,,,,,,"Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on
",,,,,,,,,,,,
54,71,"So, apparently, Bey sang/lipped to a prerecorded tape of her version of the anthem at the inauguration.
",3,2,4,5,3,4,1,2,1,5,1,1,"So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration
",2,3,1,4,1,5,1,1,1,4,2,1
55,72,"I love Vineyard seven and eight! I was supposed to have a tasting/tour there todaybut I had to cancel.
",4,3,2,4,1,3,1,1,1,5,1,1,Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(,4,4,4,5,1,4,2,1,1,4,1,1
56,76,"Mommy asked me to go grocery shopping with her and my grandma. No, I’m good. They will bein the store for hours.
",3,1,4,5,2,2,1,1,1,5,2,5,"Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..
",2,3,2,5,2,1,4,3,1,2,4,5
57,74,"If you're my friend, really my friend, go and get some girlsand bring them to me
",1,3,1,1,5,1,3,5,1,3,4,1,"If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me
",1,4,1,1,5,2,3,5,1,3,5,1
58,73,"A study of delicious coffee, chocolate, bourbon, gin, pine and pizzaHave a good night gentlemen
",3,2,4,5,1,4,1,1,1,4,1,1,"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.
",2,1,4,5,1,3,1,1,1,4,1,1
59,75,"He must not know that I don't like the bitch word, \""homie\"". That word cause a coupleof teeth to go missing
",2,3,1,1,5,1,2,4,2,3,4,1,"He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..
",2,3,1,1,4,1,3,4,3,2,4,1
60,78,"Girls want to know...girls want to show...they know my name they know a..i'm stron
",2,4,1,1,5,1,4,4,4,2,4,1,"Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice)
",1,3,1,1,4,2,1,4,1,3,4,1
61,79,"I’m going to let you all know soon and you are coming even if I have to drag you out of the house.
",2,5,1,1,4,2,1,4,1,3,2,1,"imma let y'all know soon and you coming if I have todrag u out the house
",2,4,1,1,5,2,1,5,1,3,4,1
62,77,"You can’t lose what you never had, you can’t keep what’s not yours, and you can’t hold onto somethingthat doesn’t want to stay.
",4,3,5,5,1,5,1,1,1,5,1,2,"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.
",4,3,4,5,1,5,1,1,1,5,1,2
63,82,"He is mad that he came over to my house unannounced and I wasnot there. That is not my issue to deal with
",3,3,1,1,5,1,1,4,1,4,3,1,"He mad He came over My House unannounced and I wasgone. Not My Problem !
",1,5,2,1,4,2,2,4,1,2,4,3
64,81,"That’s not going to be hard. All I need to do is pass this testtomorrow and pass my midterms.
",3,4,2,5,1,2,1,1,1,3,1,2,"But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms
",3,4,1,5,1,2,1,1,1,3,2,1
65,84,"With everything you just said, the injuries were still in place to make the post season. Firing Garrett would do nothing.
",2,3,5,4,1,3,1,1,1,4,2,1,"with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing
",2,3,2,5,1,3,1,1,1,4,1,1
66,83,"I am tired of always playing in the back. I am going to increase the intensityof the game. Definitely
",1,4,1,3,3,2,1,1,1,4,2,3,"I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!
",2,4,1,2,5,1,1,3,1,4,1,1
67,85,"If she liked the first gift, that is only the tip of the iceberg. Ihave a trick up my sleeve
",2,4,1,5,1,3,1,2,1,5,1,1,"if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve
",4,3,2,1,4,3,2,1,1,3,2,1
68,86,"If I was with her tonight I would kiss her. Unfortunately it is too late, so I will kiss my handinstead. I am laughing, well darn, hopefully tomorrow
",2,3,4,5,1,2,1,2,1,3,1,1,"If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)"" Awww <3 tomorrow lol",2,1,4,4,1,3,1,1,1,4,1,1
69,88,"I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.
",,,,,,,,,,,,,"Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases
",,,,,,,,,,,,
70,87,"What the fuck is so difficult about coming back to pick up a badge so that your check is correct. I am not goingto clock you in. Shake my head
",,,,,,,,,,,,,"Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh
",,,,,,,,,,,,
71,90,"Although I am up, my boss said to weight whether it is safe for me to go to work. So I am going, but I am going to takemy time as I do not have time to mess up
",2,3,1,3,1,1,1,1,1,3,2,3,"So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents
",2,4,3,4,1,2,1,1,1,3,2,3
72,92,"If I was Olivia I wouldn't do the record either.  She has got to know that after last season her music isn't going anywhere.isn't going anywhere
",2,3,1,2,4,2,1,3,2,3,4,1,"I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with
",2,4,1,2,4,2,3,4,1,3,4,1
73,91,"The older the berry the sweeter the juice. Friend, it is the blacker the berry the sweeter the juice. Well yes, then sheis blacker than others too
",1,1,1,2,5,1,4,5,3,2,5,1,"Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too
",1,3,1,1,5,1,3,5,1,2,4,1
74,94,"Gatorade and Powerade used to be so nasty to me butnow I love that shit.
",2,3,1,4,5,1,1,1,1,4,1,1,"Gatorade and powerade use to be so nasty to me butnow I luh Dat shit
",3,3,1,4,5,1,1,2,1,3,1,2
75,98,"I could accept us not being together but I couldn't accept us not being friends and nowit seems like I can.
",2,4,1,5,1,3,1,1,1,4,1,2,"I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can
",3,3,2,5,1,2,1,1,1,4,1,1
76,102,"I got the jack. What else do I need? I need sugar and pebbles.That is in it
",,,,,,,,,,,,,"I got the jack wat else I need sugar wats dem pebblesthat be in that shit
",,,,,,,,,,,,
77,101,"Boy, Teya is trying to see granny and such. I'm going to see though, i'm going tohit your boost! No questions
",2,4,1,1,5,1,2,5,1,2,5,1,"boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions
",1,2,1,1,4,1,3,5,1,1,5,1
78,104,"Ten dollars for a call from jail. This shit is over with. See you when you come home, brother.
",3,4,2,5,1,2,1,3,1,3,1,1,"Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro
",2,3,1,1,4,1,1,5,1,3,4,2
79,103,"I'm tired of so many people. \""I\""m so shady\"" \""Hi! What's going on?\"" I'm at theABC store with it. I'm going to talk to you.
",2,3,1,4,5,1,5,5,1,2,5,2,"I'm over so many ppl , I'm so shady"" aye wats good"" I'm at theabc store with it""ima holla
",2,4,1,1,5,1,3,4,2,3,4,1
80,105,"I think there is a raccoon or possum walking around in my house, I'mreally scared right no
",2,4,1,4,2,1,2,1,2,4,3,1,"I think it's a raccon or possum walkin round my house I'mscared ass shit rite now
",1,4,1,1,5,1,3,5,3,1,5,1
81,107,"The two for ten deal at Friday's is worth it because the food is served quickly because fast food restaurants want to servetrash food quickly for ten dollars.
",,,,,,,,,,,,,2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want10 dillas for some trash,,,,,,,,,,,,
82,109,"I just called my girlfriend and she finished schoolshe smoke my joint to
",2,1,1,1,4,1,4,5,5,1,5,1,"I jus call boo and she finished Skool she drink andshe smoke my reefer too...
",1,2,1,1,4,1,5,4,3,2,5,2
83,110,"I'm about to look at forty meals on instagram that will get meexcited. I'm starving. Damn.
",2,3,1,5,2,2,2,4,1,4,1,3,Bout to see like 40 plates on the gram get meheated I'm starving like shit,2,3,1,1,4,1,3,5,3,2,5,3
84,111,"Boy, you have two different females texting you. So I'm going to havetwo different men texting me.
",2,3,1,4,4,2,3,5,1,3,4,1,"Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVETWO DIFFERENT NIGGA TEXTING ME.
",2,3,1,1,5,1,4,5,2,2,5,1
85,112,70 degrees in Nashville. About to take a trip and then heading to the bar to get drunk. After that I will be.,1,2,1,2,4,1,4,5,3,1,4,2,70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After thatI will be at .,2,4,1,3,4,1,4,4,2,2,4,1
86,115,"A.J., have you ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them. Trust me
",2,3,1,2,4,1,5,4,1,2,5,1,"A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn'tknow what hit them.trust me.
",2,4,1,1,4,2,2,4,1,3,3,1
87,116,"I had no choice! I was already all into the television showand couldn't look away. I'm laughing!
",2,1,4,5,1,2,1,1,1,4,2,1,"i had no choice ! Like i was already all into the tvand couldn't look away lol
",2,1,3,4,1,1,1,1,1,4,2,1
88,117,"When I see a pretty girl who has a weave it is the same as seeing a man with an inky black dye combed through his hair
",,,,,,,,,,,,,"When I see a pretty girl with weave its the equivalent to a girl seeing a dudewith Beijing in his hair""
",,,,,,,,,,,,
89,120,"She is going to have to make a decision right then and there. Kiss on the mouth withan ass grab...or no snow shovel.
",1,4,1,1,5,1,3,5,1,3,4,1,"She gonna have to make a decision right then and there...Kiss in mouth withass grab...or no snow shovel...
",1,3,2,1,5,1,4,5,3,2,5,2
90,121,"Soon the people that don't play basketball are going to say that Griner could play in the NBA, when she actually couldn't make a division 1 or a division 2 team.",,,,,,,,,,,,,Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't makea D1 or D2 team.,,,,,,,,,,,,
91,122,"Middle age buddy that shovel that is for his ride and had a bad day going to be onsome bus driver stuff, that's funny
",1,3,1,2,3,1,5,3,2,3,5,2,"middle age buddy dat shovel dat ish for his whip and had a bad day gonna be onsome bus driver ish lol
",1,2,1,1,4,1,5,4,3,1,5,2
92,123,"Sadly, so many high schools have crippled these players academically, that even JUCO is hard for them.
",2,3,1,5,1,4,1,1,1,4,2,2,"Sadly so many HS has crippled these players academically that evenJUCO is hard for them...
",2,3,1,4,1,3,1,2,1,3,2,1
93,126,"Dear Greeks, if by thirty becoming a member of your organization is your greatest achievement, you don't deserve your fucking letters.
",1,4,1,1,4,1,1,5,1,3,2,1,"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.",2,4,1,1,4,2,1,4,1,3,3,1
94,124,"Tell them what happened to the mouse in the house the next next play though. (Then askwho won all the games).
",3,2,4,5,1,3,1,1,1,5,1,1,"tell em what happen to the mouse n the house the VERY next play tho (den askwho won ALL the games)
",2,1,1,4,3,1,5,4,5,2,4,1
95,127,"Once I am able to escape this competitive struggle for wealth and power I will be taking daytime naps and I will go to the chiropractor.
",2,4,4,5,1,2,1,1,1,3,2,4,"I swear when I get out this rat race imma be taking middaynaps and going to chiropractor...
",2,4,2,5,1,2,1,1,1,4,1,4
96,128,"Ladies, the older you are in life the more things you aregoing to have to sift through
",3,3,1,5,1,2,1,1,1,5,2,1,"Ladies, the older you are in the ""game"" the more Bullshit urgonna have to sift thru...
",2,3,1,3,5,1,3,5,2,3,4,1
97,129,"I'm sick of going to this dealership when random lights go out. However I do lovea free truck wash.
",,,,,,,,,,,,,"Sick of going to this dealership for random lights going out...BUT I do lovea free truck wash. *bling*
",,,,,,,,,,,,
98,134,"All the women who have sent off the shape  challenged women should be ashamed.of the world. Shame on you
",1,4,1,1,5,1,1,5,2,3,4,1,"Shame on ALL you women that has sent off the Shape Challenged womenof the world...shame on yall.
",1,2,1,1,5,1,1,5,2,2,4,1
99,135,"On the way to the gym to sweat the rest of this bug out. I can't beconducting workshops looking sick.
",3,4,1,3,3,1,1,1,1,4,2,2,On way 2 gym to sweat the rest of this bug out...can't beconducting workshops looking all sick,2,4,1,3,4,1,1,2,1,3,4,5
100,136,"We're not going for that family. My kid is going to get all the cool shit...because Daddy and Mommy work hard as shit for it.
",,,,,,,,,,,,,"we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy workshard as shit for it.
",,,,,,,,,,,,
101,138,"So the other business units are sending emails to IT while weare in conference because they are out. I'm shaking my head.
",2,3,1,4,4,1,2,4,3,4,4,2,"Sooo the other business units sending emails to IT while wein conference cuz they out...smh
",1,3,1,1,4,1,3,5,2,2,4,1
102,143,"Every time I ask for a cup of water at a fast food restaurant, I always fill it up with soda.
",,,,,,,,,,,,,"Everytime I ask for a cup for water at a fastfood Joint...I alwaysfill it up with pop
",,,,,,,,,,,,
103,144,"I hate the little sign on my phone that says I' have a voicemail...I hate the red light on my workphone when I have a voicemail.
",3,1,2,5,4,2,1,4,1,4,3,1,"I hate the lil sign on my phone dat says I gotta Voice Mail...I hate the red lite on my workphone when I gotta Vmail.
",1,2,1,5,4,1,1,4,1,3,4,1
104,148,"Then she is so gangster. She ends the conversation, looks at me for a little bit, and then opens up this bible pamphlet
",3,4,3,1,2,2,1,1,1,3,2,1,"Den she so gangsta...she ends convo looks at me for little bite denopens up this bible pamphlet!!!
",2,3,2,3,3,2,3,5,2,1,4,1
105,149,"I didn't speak about Lillard because I never mentioned him. I spoke about AD and Barnes Like I expected, Barnes isgoing to take it well.
",,,,,,,,,,,,,"I didnt speak on Lillard cuz i made no reference to him.i spoke on AD and Barnes.and Barnes like i expected isgonna be a good pro
",,,,,,,,,,,,
106,150,"I said AD won't beat ROY, and Barnes was going to be a good pro, and the game wasmore suited for the pros.
",,,,,,,,,,,,,"I said AD wont be ROY and Barnes was gonna be a Good Pro...and Game wasmore suited for the Pros
",,,,,,,,,,,,
